"ST092Q01TA","ST092Q02TA","ST092Q04TA","ST092Q05TA","ST092Q06NA","ST092Q08NA","ST092Q09NA","ST094Q01NA","ST094Q02NA","ST094Q03NA","ST094Q04NA","ST094Q05NA","ST113Q01TA","ST113Q02TA","ST113Q03TA","ST113Q04TA","ST129Q01TA","ST129Q02TA","ST129Q03TA","ST129Q04TA","ST129Q05TA","ST129Q06TA","ST129Q07TA","ST129Q08TA","ST131Q01NA","ST131Q03NA","ST131Q04NA","ST131Q06NA","ST131Q08NA","ST131Q11NA"
3,3,2,2,3,3,3,3,3,3,3,3,2,2,2,2,3,2,3,3,2,2,3,2,3,3,3,3,3,3
2,2,2,2,2,2,2,2,3,3,2,3,2,2,2,2,2,2,3,3,4,4,3,3,1,2,3,4,3,2
4,4,4,3,4,4,4,4,4,3,3,3,3,3,3,4,3,3,3,3,3,4,4,4,4,4,4,4,3,4
3,4,4,3,4,4,3,4,3,4,4,3,1,2,2,1,2,2,3,2,2,3,2,3,4,3,3,4,3,4
3,4,4,4,4,4,4,3,3,4,4,4,2,2,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,2
3,4,3,3,4,4,3,3,2,2,3,3,2,2,2,2,2,1,2,2,2,2,2,2,2,3,3,3,3,3
3,3,2,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,3,2,2,2,2,3,3,3,4,3,3
2,3,2,3,3,2,2,4,3,3,3,3,1,1,1,1,2,4,4,4,3,3,4,2,4,4,4,4,4,4
3,4,2,3,4,4,4,3,3,3,4,4,1,2,1,1,2,1,1,1,1,2,2,3,2,4,2,3,4,4
4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,1,2,3,4,3,2,1,2,2,1,2,4,3,3
3,3,3,3,3,3,3,2,2,2,2,2,1,2,1,2,1,2,3,3,2,2,3,4,3,3,3,3,3,3
2,4,2,1,4,4,4,1,2,1,3,3,1,2,3,4,1,1,2,1,3,2,3,4,1,1,2,2,2,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,2,1,2,2,1,1,3,3,3,3,3,3
3,4,4,4,4,4,4,1,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,3,3,3,3,3,3,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2
1,4,2,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,3,2,3,3,3,3,3,3
3,4,3,3,4,4,4,3,3,3,3,4,1,2,1,2,4,4,3,3,3,4,3,4,4,2,3,3,3,3
1,2,3,2,2,2,2,1,2,3,2,3,2,3,2,3,1,3,3,2,2,1,2,2,1,2,3,3,2,3
1,2,1,1,2,3,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,2,3
1,3,1,3,3,3,3,2,2,2,3,2,1,2,1,2,3,3,3,3,3,3,3,3,4,3,2,2,2,2
2,2,3,3,2,3,2,2,3,2,3,2,2,3,2,3,2,1,2,1,1,3,2,1,2,3,2,3,2,3
1,2,3,4,3,2,1,1,2,3,2,1,1,2,1,4,2,2,2,2,1,3,2,3,1,4,2,3,1,3
3,4,4,4,4,4,4,3,2,2,3,3,2,2,2,2,1,1,1,1,1,1,1,1,3,3,2,2,3,3
3,3,3,4,4,4,4,3,3,3,4,4,2,2,2,2,2,3,3,2,2,2,1,2,4,4,4,4,4,4
1,3,1,4,4,4,4,1,1,1,3,1,4,2,4,3,1,2,2,3,2,4,4,3,1,2,3,2,4,3
1,1,2,3,3,3,3,4,4,4,4,4,2,2,2,2,1,2,3,2,3,2,1,4,1,2,3,3,2,3
2,1,2,3,4,3,2,1,2,1,3,4,2,3,2,4,2,4,3,1,3,2,4,2,2,3,4,3,2,4
2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4
2,2,1,3,4,3,4,3,3,3,3,4,3,4,3,3,2,3,4,3,3,2,4,2,3,3,3,4,3,3
1,1,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,1,1
2,2,2,2,3,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,4,4,2,2,3,3,3,2,3,3
4,3,1,2,4,1,3,1,2,3,4,1,2,3,4,1,3,1,4,1,2,3,2,1,4,3,1,3,4,3
1,2,2,2,2,2,1,4,4,4,4,4,2,1,1,2,2,3,4,2,3,3,3,3,2,3,3,4,3,3
4,4,4,4,4,4,4,3,3,3,4,4,2,1,2,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3
1,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,2,4,3,4,4,4,4
1,4,4,4,4,4,4,1,2,1,2,1,1,2,2,4,1,2,4,1,1,2,3,1,1,2,1,3,2,1
1,1,1,1,1,1,1,4,4,4,4,3,2,3,3,3,4,4,3,3,4,3,2,3,2,3,3,3,3,3
1,3,3,3,4,4,4,3,3,3,3,3,2,2,2,2,1,1,4,1,1,2,1,1,4,4,4,3,4,4
1,1,2,1,2,1,2,1,1,1,1,1,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,2,1
3,3,3,4,4,4,4,2,2,1,2,4,2,2,1,1,2,2,3,1,2,1,4,2,3,3,3,3,4,3
2,3,3,4,4,4,4,1,2,1,3,3,2,2,4,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2
3,3,3,3,4,4,4,3,3,3,3,4,2,2,2,2,2,2,2,2,2,2,1,2,3,3,3,3,3,3
1,2,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3
2,2,3,2,3,3,3,1,1,1,1,1,3,3,3,3,1,1,4,4,4,4,4,4,1,1,1,1,1,1
2,2,2,3,4,4,4,2,2,2,2,2,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,2,2,2
3,3,3,3,4,3,4,3,4,3,4,4,2,2,2,3,2,1,3,1,2,2,2,2,4,3,3,3,3,3
1,1,4,4,4,4,4,1,1,1,1,1,1,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3
2,2,2,2,3,4,4,2,2,1,1,3,3,3,3,3,3,1,4,4,2,2,3,2,3,3,3,3,3,3
2,2,3,4,4,4,4,2,2,3,3,3,1,2,3,2,2,3,3,2,3,2,2,2,3,3,3,2,3,3
1,1,4,1,4,4,4,3,3,3,3,3,2,2,1,2,2,2,1,1,2,2,1,2,2,2,1,2,1,1
2,3,3,3,3,3,3,3,1,3,3,3,2,2,2,2,3,2,1,2,2,2,2,3,2,2,2,2,2,2
4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,2,2,1,1,1,2,4,4,4,4,4,4
3,3,3,3,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1
2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,4,3,3,3,3,4
1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4
3,2,2,3,3,3,3,3,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1
1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,3,3,3,3,3,3,4,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,3,3,3,3,3,3
3,4,3,4,4,4,4,4,4,4,4,4,1,1,1,2,2,2,2,1,2,2,2,2,4,3,4,4,3,2
3,3,2,3,3,3,3,4,4,4,3,4,2,2,2,1,2,2,3,2,2,2,3,3,4,3,3,3,3,3
3,4,2,4,4,4,4,4,3,3,4,4,1,2,3,3,2,2,1,1,1,3,4,2,3,2,3,3,2,2
2,3,3,3,3,4,3,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,4,3,4,4,4,4
2,2,2,2,2,2,2,4,4,4,3,4,1,2,1,1,1,1,2,3,2,3,3,4,3,3,1,3,3,4
2,2,2,2,2,2,2,3,3,3,3,3,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,2
2,3,2,1,3,2,2,2,2,2,3,3,3,3,3,3,4,4,4,3,3,4,4,4,3,2,3,3,2,2
4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,2,2,2,2,2,2,2,2,3,4,4,4,4,4
4,4,4,4,4,4,4,3,2,3,3,3,1,2,1,1,2,2,1,1,1,2,4,2,4,2,3,3,3,3
3,4,4,4,4,4,4,3,3,3,4,4,1,1,1,1,1,2,2,3,2,1,4,1,3,3,3,3,3,3
2,3,3,3,4,3,2,2,3,2,1,1,3,2,3,2,2,3,2,2,3,4,2,3,3,3,4,2,3,2
3,3,3,4,3,2,3,3,3,3,2,3,2,3,2,2,3,2,2,2,3,4,2,3,3,3,3,3,3,3
2,2,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3
3,4,2,2,3,3,3,1,1,1,1,1,3,3,3,3,4,4,4,4,3,3,1,3,4,3,3,4,3,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,3,3,2,3,3
4,4,3,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,1,2,2,3,2,3,1,2,3
3,3,3,3,3,4,4,4,4,3,3,4,4,4,2,2,1,2,2,2,1,1,3,2,4,3,3,3,4,3
2,3,3,3,3,2,3,3,3,2,2,2,2,2,2,3,2,2,2,3,3,3,4,4,3,3,4,4,3,3
2,4,2,4,4,4,4,4,3,3,3,3,2,2,2,2,3,3,4,4,2,4,4,2,1,1,3,4,3,2
4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,3,3,2,3,3,4,4,4,4,4,2,2,2,2,3,3,3,3,2,2,2,2,3,3,4,4,4,3
1,1,1,1,2,2,2,4,3,3,3,3,2,2,2,2,4,4,3,3,2,3,4,3,4,3,3,3,3,3
2,2,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,1,2,2,2,3,3,3,4,4,4,4,4,4
3,4,4,3,4,2,3,4,3,3,4,4,3,2,4,4,2,2,3,3,3,4,4,4,4,4,3,1,2,4
4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,3,2,1,1,1,2,1,2,1,2,3,4,4,4
2,3,2,2,1,4,4,2,3,3,3,4,1,2,2,2,1,2,1,2,2,1,1,1,1,2,2,2,2,2
3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,4,2,3,3,3,3,3,3
1,1,1,1,1,1,1,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,2,2,4,3,4,4,4,4
4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,3,3,3,3,3,3
4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3
3,4,3,3,4,4,3,3,3,2,3,3,3,3,3,3,2,2,3,3,3,2,3,2,3,3,3,3,3,3
3,3,4,4,4,4,3,2,2,2,3,2,3,3,3,2,2,2,2,1,1,1,2,2,4,3,3,4,3,3
3,4,3,3,4,4,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,4,4,2,3,3,3,3,3,3
4,4,4,4,4,4,4,3,4,3,4,4,1,1,2,3,1,2,2,1,1,2,1,1,3,4,4,4,4,4
3,3,3,2,2,3,3,1,2,3,3,3,2,2,2,3,2,3,4,4,3,3,3,4,2,3,3,2,2,3
4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,1,1,2,2,2,2,1,1,3,3,4,3,4,3
4,4,4,4,4,4,4,3,3,3,4,3,3,2,2,3,2,1,2,2,2,2,1,2,4,3,4,4,4,4
4,4,4,4,4,4,4,4,4,3,3,4,1,2,1,2,3,3,2,1,1,2,3,1,3,4,4,4,3,3
3,3,3,3,3,3,3,1,1,1,1,1,3,3,4,4,3,2,2,2,2,2,2,2,3,3,3,3,3,3
3,3,3,4,1,2,3,1,1,2,2,2,1,2,3,4,1,2,3,4,3,2,1,2,4,4,2,2,3,3
1,2,2,2,3,2,2,1,1,2,3,2,1,1,2,3,3,2,3,3,3,3,3,3,1,1,1,2,3,2
1,1,1,1,1,1,1,4,4,4,4,4,3,3,3,3,1,1,2,1,2,3,4,4,1,3,3,3,1,1
4,4,4,2,3,3,3,3,3,3,3,3,1,2,2,3,1,2,3,2,2,2,3,3,3,3,2,3,3,3
3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,4,4,4,4,4,4,3,2,3,3,3,2,2,2,2,2,1,1,2,2,2,2,1,3,3,4,4,3,2
2,4,4,4,4,4,4,2,3,2,3,3,2,2,2,2,2,1,2,2,2,2,2,2,3,3,2,2,3,3
4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3
3,4,4,4,4,4,2,4,4,4,4,4,3,3,3,3,2,2,3,2,3,3,2,3,1,1,1,1,1,1
4,4,4,4,4,4,4,4,4,4,4,4,1,1,2,1,1,1,1,2,2,2,1,2,4,4,4,3,3,4
4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,1,1,1,1,2,1,1,1,3,3,3,3,3,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,3,3,2,1,1,1,4,4,4,4,4,4
3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,2,2,2,2,2,2,2,2,4,4,4,4,4,4
3,3,1,3,2,3,3,3,3,3,3,3,2,2,2,2,2,2,3,2,2,3,2,2,3,3,2,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3
3,3,2,3,3,2,2,3,3,2,3,2,2,2,3,2,2,2,3,1,1,1,1,2,2,2,2,3,2,3
1,1,1,1,1,1,1,3,2,1,2,3,1,2,1,2,1,2,1,2,1,2,1,2,1,1,1,2,1,2
3,3,3,3,4,4,3,3,3,2,3,3,2,2,2,2,2,1,3,3,2,2,2,2,3,3,3,3,3,3
4,4,4,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,1,1,1,1,1,1,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,2,2,3,2,2,1,1,1,1,1,2,1,3,3,3,1,3,3
3,4,2,3,3,3,3,3,4,3,3,3,2,2,2,3,2,2,1,2,2,3,2,3,3,3,3,4,4,4
1,2,3,4,4,4,4,1,1,1,1,1,4,4,4,4,4,3,4,2,1,4,4,2,3,4,3,4,4,4
3,4,3,4,4,4,4,3,2,2,3,3,1,1,2,3,1,1,2,2,1,1,1,2,3,3,3,4,4,4
4,4,4,4,4,4,4,3,3,3,3,3,2,1,1,1,2,1,2,1,1,1,1,1,3,3,3,4,3,3
2,3,3,4,4,4,4,3,3,3,3,3,2,2,3,3,2,2,2,2,2,2,2,2,3,2,3,3,3,3
3,4,4,4,4,4,4,4,4,3,4,4,2,2,3,3,3,2,3,4,3,2,3,2,4,3,3,3,2,3
3,4,4,3,4,3,4,3,3,3,4,3,2,3,3,4,2,2,1,2,1,2,1,1,3,3,3,3,2,2
3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3
2,3,3,3,4,3,4,2,3,3,3,2,2,2,2,2,2,2,2,2,2,1,2,2,3,3,3,3,3,3
3,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,2,2,1,3,2,2,3,3,3,2,2,3,3
4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,1,3,2,2,2,2,1,1,3,3,3,3,3,3
2,3,2,3,3,3,3,1,1,1,1,1,3,3,3,3,2,3,3,3,3,2,2,3,3,3,3,3,3,2
3,4,2,4,3,3,4,2,2,2,2,2,3,2,2,3,1,1,1,1,1,1,2,2,4,4,4,4,4,4
4,4,3,3,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3
3,2,2,2,3,3,3,3,3,3,3,3,2,2,2,2,2,3,2,2,2,4,4,3,3,2,2,3,3,2
3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3
4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,1,1,1,1,1,1,1,1,4,4,4,4,4,4
3,3,2,3,3,2,3,3,3,2,3,3,2,2,2,2,2,2,2,2,1,3,2,1,4,4,4,4,4,4
3,3,3,4,4,4,4,3,3,3,3,3,1,1,1,1,1,1,2,2,2,2,2,1,3,3,3,3,3,3
2,2,2,3,4,4,4,1,1,1,1,1,3,2,2,3,3,3,3,3,3,3,3,2,3,4,4,4,3,3
2,3,4,4,4,4,4,3,3,3,3,3,2,1,2,2,4,4,4,4,4,4,4,4,3,3,3,2,2,3
4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3
2,2,2,2,2,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3
2,3,2,3,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3
2,2,2,3,3,2,4,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,3
2,3,3,3,3,3,3,1,1,1,1,1,2,2,2,2,2,2,2,1,1,2,2,2,3,3,3,3,3,3
3,3,2,3,3,3,3,3,3,3,2,3,2,3,2,3,2,2,3,2,1,2,2,2,3,3,3,3,3,3
3,3,2,3,3,4,3,3,3,2,3,2,2,2,2,3,3,2,2,3,1,1,2,4,2,3,3,3,2,3
3,2,3,2,4,2,2,3,3,3,3,3,2,2,3,3,3,3,2,2,2,3,3,1,3,3,3,3,3,3
2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3
2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,4,2,2,2,2,3,3,3,3,3,3
2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,3,3,3,3,3
2,1,4,4,4,4,4,1,2,2,2,3,1,1,1,3,2,1,4,2,2,2,2,1,3,3,3,4,3,3
3,4,4,4,4,4,4,4,3,3,4,4,1,1,2,2,2,3,3,2,2,2,2,1,3,3,3,3,2,3
3,3,3,3,3,4,3,2,2,2,2,2,2,2,2,3,2,2,2,1,1,2,2,2,3,3,3,3,3,3
3,4,2,3,3,3,3,3,3,3,4,3,2,2,3,3,3,1,4,2,2,1,2,2,3,3,3,4,3,3
3,4,3,3,4,3,3,2,2,2,2,2,1,1,1,1,2,1,1,1,2,2,2,1,3,3,3,3,3,2
3,3,3,3,3,3,3,3,1,1,1,1,1,3,1,4,2,2,2,2,2,2,2,2,4,3,3,4,2,3
3,4,4,4,4,4,4,3,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3
1,3,2,2,4,4,4,2,2,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,3,3,3,3,3
1,2,4,4,4,4,4,1,1,1,1,1,2,2,2,2,2,2,4,4,2,2,2,4,2,3,3,3,3,3
3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,3,3,3,3,3
3,3,3,4,4,4,4,2,2,2,2,2,3,3,3,3,4,1,1,1,3,2,3,2,3,3,4,4,3,3
2,3,2,3,2,2,3,1,1,1,1,1,2,2,2,1,3,2,2,2,2,2,2,2,3,3,3,3,3,3
3,3,3,3,3,3,3,2,2,2,2,2,1,1,1,2,2,2,1,2,2,2,3,2,2,2,2,2,2,2
3,4,2,4,4,3,4,3,2,3,3,4,2,2,2,2,2,1,2,2,3,4,3,2,4,3,4,3,3,3
1,2,1,2,3,4,4,1,1,1,1,1,2,2,2,2,2,2,4,4,2,2,2,2,4,4,4,4,4,4
2,4,3,4,4,3,4,4,3,3,3,3,2,2,2,3,3,3,4,4,4,3,3,3,3,3,2,3,2,1
4,4,4,4,4,4,4,4,3,4,4,4,1,1,1,1,1,1,1,1,2,1,2,1,4,4,4,4,4,4
4,3,3,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,1,2,1,3,3,1,4,3,4,3,3,4
4,4,3,4,4,4,3,2,2,3,3,3,2,2,2,2,2,2,1,1,2,3,2,3,3,3,3,3,3,3
4,4,4,4,4,4,4,3,3,2,3,3,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,3,3
1,2,3,3,3,3,3,3,3,3,2,2,2,2,1,1,1,1,1,2,1,1,3,1,3,3,2,3,1,3
2,3,2,2,2,2,1,2,2,3,3,3,2,2,2,1,1,2,2,3,3,4,4,3,3,2,2,3,2,3
2,3,3,3,4,4,4,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,2,3,3,3,3,3,3
2,1,3,1,4,4,1,3,3,3,3,4,2,1,1,2,2,2,2,3,3,2,3,3,4,3,3,4,3,3
2,4,3,3,4,4,4,3,3,3,3,3,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3
2,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4,2,2,2,3,2,2,2,2,4,4,4,4,4,4
2,4,3,4,3,3,3,2,2,2,2,3,2,2,1,2,3,3,4,4,3,2,3,3,3,2,3,3,3,3
3,3,3,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,3,3,3,3,3,3,3,3,3,3,3,3
4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4
2,3,4,3,4,4,3,1,1,1,2,2,1,1,1,1,3,3,2,2,2,3,3,3,4,4,4,4,3,4
2,3,2,3,4,4,4,1,1,1,1,1,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3
3,3,3,3,3,3,4,2,2,2,3,2,2,2,3,3,2,1,2,1,1,1,2,2,3,3,2,3,3,3
3,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,3,4,3,3,3,3
4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3
3,4,2,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,1,2,2,2,2,2,3,3,3,4,3,3
3,4,4,4,4,4,4,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,1,2,3,3,4,4,4,4
2,3,2,2,2,2,2,3,2,3,3,3,1,1,1,1,2,1,1,2,2,1,2,1,4,4,4,4,4,4
2,4,3,4,4,4,4,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3
3,4,4,4,4,4,4,1,3,1,1,1,3,3,3,3,2,2,2,4,4,4,4,4,3,3,3,3,3,3
2,3,2,4,4,4,4,2,2,2,2,2,2,2,2,2,2,1,2,3,2,2,4,1,3,3,3,3,4,3
2,3,3,3,3,3,3,2,2,2,2,2,2,3,3,4,1,1,3,2,2,2,3,2,3,2,3,3,3,3
4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,2,1,1,1,1,1,2,1,1,4,4,4,4,4,4
3,3,2,1,4,4,4,2,2,2,2,2,3,3,3,3,3,1,2,1,2,1,2,1,4,3,3,4,3,3
4,4,4,4,4,4,4,4,4,4,4,4,2,2,1,1,1,2,1,1,1,2,1,1,3,3,3,3,3,3
2,3,2,4,4,3,4,2,1,1,1,1,4,4,4,4,3,1,2,1,2,4,2,1,4,4,4,4,4,2
3,3,2,3,4,4,4,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,4,4,3,3,3,3,3,3
2,2,3,3,4,4,3,2,3,2,4,4,3,2,2,2,3,3,2,2,3,3,3,3,3,2,2,1,1,2
4,4,4,3,4,3,4,3,4,3,4,4,2,2,2,2,1,1,3,2,2,2,1,1,4,3,4,4,4,4
2,4,3,4,4,4,4,1,1,1,1,1,1,1,1,1,4,3,3,3,3,3,3,3,4,4,3,3,4,3
3,4,4,3,4,4,4,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2
2,3,3,4,4,4,4,1,1,1,1,1,2,1,2,2,2,2,2,1,1,2,2,1,3,3,3,3,3,3
3,3,3,3,3,3,3,2,3,2,3,3,2,2,2,2,2,2,2,2,2,1,1,2,4,3,4,4,4,4
1,2,3,4,4,4,4,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,1,1,1,1,1,1
2,3,3,2,4,4,4,2,2,3,2,2,2,2,2,2,3,3,2,2,3,2,2,2,4,3,2,4,3,3
3,4,3,4,4,4,4,4,4,4,4,4,2,2,4,4,2,2,2,2,2,2,2,1,4,3,4,4,3,3
2,3,2,2,3,3,3,3,3,2,3,3,2,2,2,2,2,2,3,2,2,2,3,2,3,3,3,3,3,3
2,2,3,1,4,4,4,2,2,2,3,3,1,2,1,1,1,1,2,2,2,1,1,1,3,3,3,3,4,4
4,3,3,3,3,3,3,3,4,3,3,3,2,3,3,3,3,3,3,3,4,2,3,3,2,3,3,3,2,3
4,4,4,2,4,4,4,1,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4
1,2,4,4,3,4,4,2,3,3,4,3,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,3,2,2
2,3,3,4,3,4,4,3,3,4,4,3,2,1,1,1,2,3,3,2,3,3,4,4,4,3,4,4,3,4
4,4,4,4,4,4,4,3,3,2,3,3,1,2,2,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,2,1,1,3,4,4,4,4,4
1,1,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,3,4,3,3,3,3,3,2
1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4
1,2,2,2,3,3,3,3,3,3,4,4,2,4,4,4,2,2,2,2,2,2,2,2,3,3,4,3,3,3
2,1,2,2,1,2,2,1,1,2,2,2,1,1,2,2,1,1,2,2,1,3,2,3,1,2,2,2,2,2
2,2,3,3,2,3,3,3,2,3,3,3,2,3,3,2,2,2,3,3,3,2,2,3,2,2,3,2,2,3
1,2,2,1,2,2,2,1,1,1,1,1,1,2,2,2,1,2,2,2,1,2,2,3,4,3,4,3,4,4
1,2,1,3,3,3,1,2,2,2,2,2,1,1,1,1,1,2,2,2,4,4,3,3,1,1,1,1,1,1
2,4,3,3,3,3,3,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3
2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2
3,4,2,4,4,4,4,3,4,3,3,3,1,1,1,1,1,2,2,1,1,2,1,1,3,3,4,4,4,4
1,3,2,4,4,4,4,2,3,2,2,2,1,1,1,1,2,2,2,1,2,2,3,1,3,3,4,4,3,3
2,3,3,4,4,4,3,4,4,4,3,3,2,2,3,2,2,2,3,3,4,3,2,1,2,2,1,3,3,4
3,3,2,4,4,4,4,2,1,1,1,1,2,3,2,1,3,2,2,1,1,3,3,2,3,2,4,2,2,2
2,3,3,4,4,4,4,3,4,3,4,3,1,1,1,1,3,3,4,2,3,3,3,4,3,3,4,4,3,3
